x_mm,r_mm
2.503344481605351035e+01,1.082841620923219317e+01
2.511705685618728978e+01,1.085867723572384591e+01
2.520066889632106921e+01,1.088903510770986749e+01
2.528428093645484864e+01,1.091948728553207637e+01
2.536789297658862807e+01,1.095003122953228925e+01
2.545150501672240750e+01,1.098066440005233702e+01
2.553511705685618693e+01,1.101138425743403637e+01
2.561872909698996637e+01,1.104218826201920578e+01
2.570234113712374580e+01,1.107307387414967081e+01
2.578595317725752523e+01,1.110403855416725172e+01
2.586956521739130466e+01,1.113507976241376696e+01
2.595317725752508409e+01,1.116619495923104388e+01
2.603678929765886352e+01,1.119738160496089918e+01
2.612040133779264295e+01,1.122863715994515488e+01
2.620401337792642238e+01,1.125995908452563121e+01
2.628762541806020181e+01,1.129134483904415198e+01
2.637123745819398124e+01,1.132279188384253743e+01
2.645484949832776067e+01,1.135429767926260958e+01
2.653846153846154010e+01,1.138585968564619044e+01
2.662207357859531953e+01,1.141747536333509672e+01
2.670568561872909896e+01,1.144914217267115397e+01
2.678929765886287839e+01,1.148085757399618423e+01
2.687290969899665782e+01,1.151261902765200773e+01
2.695652173913043725e+01,1.154442399398044472e+01
2.704013377926421313e+01,1.157626993332331544e+01
2.712374581939799256e+01,1.160815430602244369e+01
2.720735785953177199e+01,1.164007457241965149e+01
2.729096989966555142e+01,1.167202819285675908e+01
2.737458193979933085e+01,1.170401262767558670e+01
2.745819397993311028e+01,1.173602533721795460e+01
2.754180602006688972e+01,1.176806378182569013e+01
2.762541806020066915e+01,1.180012542184060642e+01
2.770903010033444858e+01,1.183220771760453083e+01
2.779264214046822801e+01,1.186430812945928359e+01
2.787625418060200744e+01,1.189642411774668140e+01
2.795986622073578332e+01,1.192855314280855339e+01
2.804347826086956275e+01,1.196069266498671624e+01
2.812709030100334218e+01,1.199284014462299019e+01
2.821070234113712161e+01,1.202499304205919906e+01
2.829431438127090104e+01,1.205714881763716484e+01
2.837792642140468047e+01,1.208930493169870957e+01
